Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;;
Jun-2011;28;7;4;3;844270;336353;266041;449153;298.11294;123.3;46.05;44.2;510808;195248;145641;227584
Jul-2011;10;10;6;2;280222;473589;447262;301459;93;129.05;162.2;33;172657;283615;240964;154553
Aug-2011;9;4;3;4;243062;193972;223361;674792;108.05;76.5;61.5;113;147818;112323;117005;343808
Sep-2011;9;8;7;5;287102;423643;512294;853345;110.5;159.5;121.4;168;173313;255309;270110;434519
Oct-2011;10;11;1;5;270573;537664;73670;1015170;74.15;193.125;16;215.8;161694;304916;38972;511734
Nov-2011;9;5;8;4;257311;236634;602193;668937;90.6;74.7;178;112.2;160812;162539;322102;336177
Dec-2011;8;12;5;3;216795;580054;352665;579357;56.2;156.68185;59.2;55.075;136147;359821;191422;294944
Jan-2012;11;7;4;2;317317;320389;304243;300476;100.62;79.41242;81.5;18.15;201128;189222;158209;154923
Feb-2012;10;6;4;1;292041;260659;288357;106659;109.8;49.85;49;32;185413;151141;152918;62273
Mar-2012;13;9;13;3;379951;426854;962139;520188;103.45;91.1;245.5;94.6;228350;275501;510420;270664
Apr-2012;18;13;6;7;510983;675461;443833;1226806;150.8;212.3;94.2;216.8;316768;380903;237007;626841
May-2012;8;10;11;6;204636;495288;830821;1020579;57.85;148.2;179.7;178.5;133956;301221;441853;520801
Jun-2012;11;4;8;2;301225;207212;597904;326157;86.9;42.4;110.81;77.05;188696;121238;321636;171558
Jul-2012;11;10;5;6;291060;515313;406806;1108428;68.1;158.65;68.67;176.5;181172;292491;217290;563085
Aug-2012;6;8;7;4;192344;418115;523961;577419;79.7;114.21;129.6;27.4;122638;251528;284125;296280
Sep-2012;10;14;4;18;294841;604038;292686;4528863;61.6665;76.40732;62.1;780.1;189576;357696;156045;2362653
Oct-2012;10;12;7;8;282578;589377;584423;1304371;56.13;145.23;126.34;155.85;174681;345751;309977;664075
Nov-2012;8;9;21;8;246597;461832;1622592;1515995;97.51;123.85;350.4;180.5;154635;262976;877122;765637
Dec-2012;3;6;15;4;84342;288528;1184907;679705;32.35;55.68;280.9;61.2;53198;169321;638679;349218
Jan-2013;19;15;18;5;572949;769209;1415561;1229748;136.22649;181.8;262.9913;231.8;353917;443121;752390;654279
Feb-2013;10;11;4;3;284837;505179;303778;601911;64.39;81.05;42.6058;63.9;175652;298923;161370;320336
Mar-2013;13;10;9;0;356420;503947;677687;0;85.61857;125.65;109.75;0;220054;285267;362731;0
Apr-2013;7;7;10;5;203518;358853;775891;836083;72.6;101;162.55;85.8;125948;201643;408478;422958
May-2013;16;9;8;6;439998;433264;640378;1152645;138.5425;106.1;131.35;156.96;284440;250742;340453;595105
Jun-2013;16;5;13;5;467792;273971;1011528;845477;192.65;88.45;206.7;81.3;289471;155605;542123;424343
Jul-2013;14;10;7;2;403105;526373;566045;414000;185;140.0321;124.1;47.3;262385;300672;299450;214826
Aug-2013;13;6;10;8;351888;318927;737829;1401083;102.3536;101.2;131.55;195.5;215154;181001;390354;710413
Sep-2013;10;14;8;6;274773;733430;685435;1062375;83.95;237.85;157.6;177.8;179071;431364;366379;542584
Oct-2013;9;16;21;11;223797;834455;1628423;1867345;69.7;228.3825;410.31;302.5;142727;481795;864911;946084
Nov-2013;20;15;11;1;592295;805257;845491;264158;232.54728;299.45;192.95;16;373483;461878;452916;147005
Dec-2013;16;11;8;11;437869;578435;644884;1921288;143.42018;187.7;160.1;449;273765;331072;351466;990677
Jan-2014;7;18;23;8;176057;894869;1866467;1305234;56.8;293.35;300.49875;276.7518;106990;515398;990702;679655
Feb-2014;12;13;14;0;374614;687616;1068242;0;153.7;263.5395;266.1;0;239120;393534;568552;0
Mar-2014;8;13;9;5;249044;701252;707734;884613;104.1;243.8;183;227.5;154076;397904;389019;455886
Apr-2014;9;16;12;7;259679;828994;960867;1176917;75.21417;266.7;331.6;194.8;158728;477915;521733;603070
May-2014;10;8;10;3;288808;433132;807431;512393;120.8;166.725;215.2375;95;180085;246665;435213;257314
Jun-2014;5;7;8;3;131072;376309;609967;510964;31.95;149.78275;88.65;119.5;77411;215370;319875;265393
Jul-2014;9;8;4;3;289460;417869;293664;514941;116.65;141.3;53;77.7;187701;243125;156965;259077
Aug-2014;5;6;8;3;107718;317603;638640;535023;25.05383;98.6;138.75;143.5;66097;195624;343951;278478
Sep-2014;8;6;3;3;208106;300592;216159;534251;53.1;85.7;22.75;143.5;129492;185067;113587;278635
Oct-2014;12;7;6;6;366277;358366;449212;1062433;122.95467;99.2;89.85;237.3;225204;202479;238152;550366
Nov-2014;10;8;9;5;254382;422062;688457;879365;74.6875;123.7;112.6;151.9;160942;241017;366170;452437
Dec-2014;4;6;6;4;102191;304047;455050;720923;43.8;79.7;80.8;128.4;67208;183193;240096;376890
Jan-2015;20;4;4;1;538745;196541;311104;171199;143.13243;31.25;40.35;17;338354;110921;165614;85379
Feb-2015;11;4;7;0;269568;199757;568770;0;100.64072;32.9;93.795;0;164828;113203;305747;0
Mar-2015;7;15;16;2;183015;694934;1309489;343671;33.1;77.55;231.15;18.25;112281;396625;705765;174542
Apr-2015;17;15;13;14;449033;729398;1013517;2464676;103.14798;137.45;155;465.9;277278;432789;545119;1277491
May-2015;5;8;6;11;119194;389577;450665;2827571;14.575;64.53943;62.6;673.2;73753;220960;238204;1441640
Jun-2015;14;14;10;2;344746;735911;772069;351982;71.40375;146.64391;112.15;52.5;209512;417077;412561;183423
Jul-2015;10;14;16;8;253487;787243;1238695;2304948;60.07531;108.3;209.75;544.4;155669;443451;661079;1159082
Aug-2015;9;12;16;7;221352;670001;1261219;1220741;55.77565;140.75;173.45;247.5;136402;382531;674543;633602
Sep-2015;12;16;8;3;325325;835269;610336;529816;78.99237;141.99;32.9;45.6;209909;476051;325057;266103
Oct-2015;12;10;11;2;343380;521690;841522;322039;70.3;72.95;95.685;73.4;213404;303559;445570;170273
Nov-2015;10;14;6;10;285816;672438;454505;1801072;50.97112;47.9;222.8;362.25;176195;389574;261285;927577
Dec-2015;10;4;6;11;266566;209393;474462;2854458;43.95484;22.9;22.55;668.25;166433;119371;250306;1446754
Jan-2016;11;10;9;15;280974;546697;676646;2687014;46.88625;71.9;59.73;437.7095;174361;306677;361273;1390505
Feb-2016;5;17;5;8;161963;879028;391071;1649331;20.65;88.92;49.3;165.50267;97735;504348;210957;837923
Mar-2016;11;17;17;4;319137;908752;1342148;703884;62.09753;109.4;122.49;57.55;202183;523681;715509;363076
Apr-2016;10;21;21;7;287586;1116727;1662161;1388030;45.69006;117.2;154.9625;204.4953;183412;637806;889280;717893
May-2016;16;13;8;7;415331;700275;612423;1243705;89.22726;100.65;84.6565;138.8;260845;398678;332091;642376
Jun-2016;23;16;10;9;653477;869068;836746;1226211;112.34386;135.8;96.9;148.1;420844;492958;449504;661117
Jul-2016;9;12;18;4;264783;645744;1432974;709298;45.95454;91.30089;191.6;76.55;164059;365016;764676;366393
Aug-2016;12;21;12;6;302526;1164283;942376;1091422;46.72821;181.3;105.2;113.7;189801;667314;494267;559396
Sep-2016;15;21;14;8;448660;1177855;1129819;1364393;71.12;201.43;110.5;160.75;280171;684343;606873;714033
Oct-2016;11;16;23;5;348717;846424;1799005;821224;121.53331;130.11818;235.75;81;212965;484251;958557;426991
Nov-2016;26;17;16;7;823025;949214;1256131;1254191;176.06047;149.75;149.68333;153.9;521209;540777;673345;647887
Dec-2016;8;17;13;14;226254;915465;1058497;2739215;47.10642;148.55;190.05;288.26;143678;523296;569037;1406269
Jan-2017;32;19;15;8;854474;1027642;1180053;1324805;159.93296;182.35;133.7125;143.3855;540661;584818;626715;690494
Feb-2017;8;15;13;8;209662;785460;1075157;1532974;49.91137;114.85212;175.05;177;133472;451382;583050;789521
Mar-2017;22;37;28;13;612863;2122606;2259554;2344592;142.12563;460.275;268.80843;524.5;383189;1220455;1211637;1209289
Apr-2017;9;17;22;3;282879;918067;1726023;537463;77.4;204.0334;302.82;78.4;171887;528030;919917;274616
May-2017;4;16;5;3;132181;813711;389244;538096;35.1;122.78946;70.1;90.55;80981;465341;205176;276148
Jun-2017;12;14;6;3;356511;750743;482906;569972;96.72863;130.2;66.6;100.05;223235;430092;253533;297205
Jul-2017;15;6;11;5;400789;320322;870299;874147;130.05207;58.6456;120.5;92.3;247757;181721;465464;455228
Aug-2017;11;20;16;9;322882;1160111;1279692;2507400;86.31;308.375;237.73;484.3;205525;661749;679816;1258131
Sep-2017;8;34;17;7;261799;1902656;1341972;1244258;71.4;468.8;248.55;189.3;166527;1095386;715111;638540
Oct-2017;23;23;11;13;655483;1223431;840464;2322430;147.6;233.55;137.8;261;417925;697560;444721;1201508
Nov-2017;14;16;9;4;414457;883045;689122;718056;101.75241;234.35;97.35;113.3;259335;502821;368436;370283
Dec-2017;15;12;9;10;485126;643737;691476;1590669;161.9099;139.55;94.3;218.5;304762;367722;373334;841070
Jan-2018;15;21;8;5;480910;1110068;625478;881124;128.78;226.9;111.15;83.2;301167;636815;337854;443816
Feb-2018;8;8;10;4;260688;441159;817623;594389;87.7;91.75;145.88894;80;164689;251569;433956;315507
Mar-2018;17;20;8;0;517447;1056455;654525;0;155.89779;234.12;122.04767;0;328572;605843;357376;0
Apr-2018;9;36;14;14;283888;2089036;1150866;2187642;99.5;602.08749;280.0145;433.43333;179062;1199421;620181;1164214
May-2018;20;16;25;8;655701;863300;2013278;1515094;204.55;152.6;198.21;545.5;405623;493020;1069640;790048
Jun-2018;8;18;15;3;234105;982672;1157935;544539;72.2;221.2;179.45;135;146791;560254;620572;282015
Jul-2018;5;12;14;5;151796;666022;1094149;905553;34;156.56;214.12102;180.3;92316;382106;585621;468419
Aug-2018;11;15;9;6;325157;833075;720765;1074961;101.17856;206.35734;128.16;180.1;201130;475193;385061;549797
Sep-2018;15;7;5;3;464370;385954;402127;544073;151;85.8;75.7;65.4;290115;219255;217874;273856
Oct-2018;16;23;22;9;498361;1292214;1730600;1653057;162.6276;330.08;275.17;301.7;309212;745094;926557;851348
Nov-2018;9;17;15;7;229096;934380;1187261;1244830;55.94546;219.11;200.075;172.58333;145825;532499;642319;642463
Dec-2018;10;10;9;4;286571;543244;721421;723021;97.70632;137.25;163.55;118.6;185964;307574;387230;373127
Jan-2019;6;17;12;1;178586;951601;945638;174083;60.89712;184.3;318.96667;16.6;112090;541007;518411;88930
Feb-2019;4;7;11;0;108777;374558;880069;0;28.98442;73.57;110.7;0;69205;209402;468125;0
Mar-2019;11;20;17;0;339782;1149002;1345743;0;96.45;315.2;260.4;0;216430;651291;717474;0
Apr-2019;15;28;9;2;382961;1562944;696600;355455;93.92552;370.8;67.55;23;238547;889715;369813;182369
May-2019;8;24;14;5;195336;1336011;1137087;966397;48.00738;288.9;199.05;103.5;121988;771022;607310;491394
Jun-2019;6;11;10;1;189506;594471;817104;177477;54.06;123.35;116.8615;14.75;122571;338812;442960;88494
Jul-2019;15;24;12;8;473940;1392507;970254;1291636;135.12314;337.8;156.1;133;295571;794538;522681;666963
Aug-2019;13;16;9;0;362104;890788;735438;0;88.30228;220.49;103.2;0;226909;509325;391305;0
Sep-2019;18;29;11;8;552862;1640066;853006;1445049;147.75836;355.82;94.25;201.15;348258;930717;453526;738041
Oct-2019;19;25;9;4;584286;1391674;731756;632323;153.73903;314.05;149.9;115;364552;798939;384813;335818
Nov-2019;14;14;6;1;432914;721104;449284;203095;96.2367;108.49;48;15.8;276529;412455;239426;101933
Dec-2019;16;14;3;2;416688;786536;223726;293435;93.673;180.26;29.75805;39;258805;448935;121566;156142
Jan-2020;7;8;6;3;189118;436575;490438;527112;44.15;86.25;63.35;66.4;120562;249219;268239;272529
Feb-2020;6;12;10;4;185827;662084;779790;708686;30.08;136.3964;81.1;77.8;117103;380758;414675;359329
Mar-2020;7;10;6;3;209220;555410;447664;529869;44.25843;124.39;39.25;40.6;130745;314198;233030;275157
Apr-2020;1;2;1;0;32316;112557;75118;0;5.5;17.1;8.1;0;20283;63116;40170;0
May-2020;13;18;4;1;402505;999731;314699;177536;86.54;168.04855;24.9;10.5;259741;572709;167177;88541
Jun-2020;18;10;8;7;552945;549963;631755;1270530;108.1;76.35;64.30871;264.6;351632;315284;340209;654659
Jul-2020;15;21;13;9;506708;1165808;1065062;2391766;136.98;195.6;129.01;464.2;320857;665779;571321;1211291
Aug-2020;10;25;11;7;303619;1463131;906641;1291727;77.75;327.9;129.5;103.25;189046;835895;483106;659444
Sep-2020;18;22;11;7;580572;1219754;921424;1263905;126.6;199.7;140.3;115.25;362888;695486;495422;655536
Oct-2020;17;21;15;14;532636;1177806;1204275;2621349;106.26;218.75;209.76;213.15;328719;668127;648136;1343986
Nov-2020;15;33;13;5;430887;1904192;1054082;928698;89.99873;401.94;207.93;110.5;264624;1081062;562335;472157
Dec-2020;13;33;21;11;452006;1893558;1675142;2101178;132.45;379.25;240.18;215.15;292934;1080483;895425;1081626
Jan-2021;9;23;17;11;317994;1308006;1384539;1962325;80.1;243.73;228.125;186.77;201645;755277;744767;1011413
Feb-2021;14;44;24;2;473804;2555323;1913252;357568;141.3;580.1;364.8;39;298998;1463489;1018568;182107
Mar-2021;22;29;34;11;722993;1651715;2753280;1990992;233.58;397.10746;589.1;268.47;454195;941614;1495962;1034532
Apr-2021;19;15;17;17;617340;875440;1406351;2723674;218.97329;258.34;325.7875;260.5;387249;516217;766525;1443958
May-2021;25;40;19;3;781368;2291501;1536817;541816;306.57789;620.72071;351;72.51;492382;1308036;820723;277860
Jun-2021;50;28;16;6;1640588;1615321;1264794;998306;518.82365;530.54825;266.3;130;1057274;923833;674397;512063
Jul-2021;23;24;15;9;684303;1397678;1226604;1637522;282.30964;464.05;253;232.25;428552;794413;656664;841901
Aug-2021;23;24;10;6;751102;1372926;808434;1100705;343.72319;469.82;180.2;183.05;473468;780995;431941;568984
Sep-2021;33;29;23;8;989085;1633468;1843299;1505171;436.79677;544.69729;521.65;246;636225;925241;987535;776361
Oct-2021;19;15;19;12;623024;835488;1521670;2366619;272.47697;313.04067;440.86884;468.2;386303;480842;825324;1231675
Nov-2021;26;16;8;3;852615;968090;660218;563622;396.70237;378.81;156.19;76.5;557105;551498;352318;289097
Dec-2021;22;23;16;3;674144;1330352;1318394;590315;308.63;488.05345;382.49;104;426077;754775;725453;297732
Jan-2022;14;9;8;2;455480;515714;660445;389015;222.23211;173.23;117.62208;85.8;290539;293919;354172;200989
Feb-2022;22;28;10;6;741266;1601000;845666;1121303;406.8;573.4;169.8;135;471532;924026;456303;577060
Mar-2022;27;28;21;3;932808;1603756;1685895;564750;542.77008;547.68;413.52;89.5;588733;927929;899415;285743
Apr-2022;12;27;18;24;395921;1521315;1466037;3985488;181.1;538.45868;349.55;931.6;254881;876988;788316;2106092
May-2022;24;23;21;7;792294;1249881;1673080;1244558;377.8508;451.15331;522.22469;203.8;495262;715236;900479;630442
Jun-2022;28;26;17;4;1007190;1423023;1359497;743044;601.49861;487.95;368.33;141.85;631893;818305;726685;381812
Jul-2022;26;16;10;3;814178;887010;773080;533139;423.86555;319.11768;152.19286;112;514107;503092;412503;274731
Aug-2022;11;14;3;4;315320;816974;216843;861212;159.85;414.37263;31.98705;164.4;196655;467490;114680;460472
Sep-2022;15;14;11;3;439557;795276;887643;565228;174.86253;283.924;183.2;61;270515;450206;471581;286034
Oct-2022;19;14;28;6;577784;805412;2339246;1050408;253.29363;274.125;528.85;98.2;376226;452161;1256547;531802
Nov-2022;22;10;14;8;689241;560929;1146772;1480464;342.2828;175.85;269.24599;186.3;436105;313900;616558;757637
Dec-2022;9;13;6;8;256518;737126;476978;1431077;94.24797;228.77091;93.825;158.25;161425;431958;256438;732134
Jan-2023;22;16;3;6;761742;939005;274332;1101468;347.73519;280.9;46.1;137.1;494582;533266;147150;566256
Feb-2023;14;18;8;8;436894;1046972;624845;1614797;173.49126;351.5;132.4;342;276215;596871;333600;833745
Mar-2023;24;24;9;18;837744;1364141;694350;3309624;385.63701;426.45;169.5;577.5;527134;778424;372885;1712695
Apr-2023;19;21;11;7;575497;1205655;833294;1225377;216.05;362.45;153.19654;137.9;367401;688998;436778;623602
May-2023;15;16;14;8;442542;938231;1112420;1380188;200.52108;300;249.53763;172.15;278968;539066;604266;714157
Jun-2023;14;34;16;6;429636;1914065;1307185;1080204;176.76722;646.37543;371.15;147;265543;1107192;704935;555933
Jul-2023;13;16;15;16;421114;896325;1213216;2918700;161.95183;226.14005;283.6215;353.6;262994;512397;650451;1502958
Aug-2023;12;15;7;10;436440;852927;549885;1723096;219.01;286.85;126.29;187.25;274114;486908;291961;890389
Sep-2023;20;21;13;7;660532;1231406;1038460;1307180;257.04451;349.73;218.4;157.95;418801;698814;547714;667601
Oct-2023;17;18;20;12;512889;1023356;1574486;2160624;166.64148;251.25;338.25;282.75;318099;578866;832630;1114447
Nov-2023;19;25;16;16;625540;1431544;1269169;2921804;228.82506;389.52541;292.45;371.5;398524;813295;673496;1493857
Dec-2023;19;23;14;11;587491;1272337;1142913;1946454;204.08611;361.75771;274.85;304.9;368801;729113;608059;1007187
Jan-2024;21;26;15;5;627389;1453222;1251902;918495;209.6006;353.25;210.575;137.9;394640;827688;671349;468636
Feb-2024;7;12;13;20;234325;686447;1083973;3730935;106.45;204;203.525;756.05001;156642;391772;579591;1932323
;;;;;;;;;;;;;;;;
Please note the following;;;;;;;;;;;;;;;;
33250: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33251: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33252: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33253: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33254: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33255: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33256: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33257: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33258: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33259: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33261: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
33262: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
531398: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
531399: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
531400: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
531401: During Period Specified. Aggregate secondhand sales values are based on reported sales prices, where available, or alternatively estimated values based on vessel type, size and age.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
© Clarkson Research Services Limited 2024;;;;;;;;;;;;;;;;