Baltic Dry Index | Price History                                          13-Feb-2024 20:16,Unnamed: 1
,
,
.BADI,
Interval: Monthly,
History Period: 13-Feb-2004 - 13-Feb-2024,
,
,
.BADI History     Monthly     29-Feb-2004 - 29-Feb-2024,
Exchange Date,Trade Price
2024-02-29 00:00:00,1572
2024-01-31 00:00:00,1398
2023-12-31 00:00:00,2094
2023-11-30 00:00:00,2937
2023-10-31 00:00:00,1459
2023-09-30 00:00:00,1701
2023-08-31 00:00:00,1086
2023-07-31 00:00:00,1127
2023-06-30 00:00:00,1091
2023-05-31 00:00:00,977
2023-04-30 00:00:00,1576
2023-03-31 00:00:00,1389
2023-02-28 00:00:00,990
2023-01-31 00:00:00,681
2022-12-31 00:00:00,1515
2022-11-30 00:00:00,1355
2022-10-31 00:00:00,1463
2022-09-30 00:00:00,1760
2022-08-31 00:00:00,965
2022-07-31 00:00:00,1895
2022-06-30 00:00:00,2240
2022-05-31 00:00:00,2566
2022-04-30 00:00:00,2404
2022-03-31 00:00:00,2358
2022-02-28 00:00:00,2040
2022-01-31 00:00:00,1418
2021-12-31 00:00:00,2217
2021-11-30 00:00:00,3018
2021-10-31 00:00:00,3519
2021-09-30 00:00:00,5167
2021-08-31 00:00:00,4132
2021-07-31 00:00:00,3292
2021-06-30 00:00:00,3383
2021-05-31 00:00:00,2596
2021-04-30 00:00:00,3053
2021-03-31 00:00:00,2046
2021-02-28 00:00:00,1675
2021-01-31 00:00:00,1452
2020-12-31 00:00:00,1366
2020-11-30 00:00:00,1227
2020-10-31 00:00:00,1283
2020-09-30 00:00:00,1725
2020-08-31 00:00:00,1488
2020-07-31 00:00:00,1350
2020-06-30 00:00:00,1799
2020-05-31 00:00:00,504
2020-04-30 00:00:00,635
2020-03-31 00:00:00,626
2020-02-29 00:00:00,535
2020-01-31 00:00:00,487
2019-12-31 00:00:00,1090
2019-11-30 00:00:00,1528
2019-10-31 00:00:00,1731
2019-09-30 00:00:00,1823
2019-08-31 00:00:00,2378
2019-07-31 00:00:00,1868
2019-06-30 00:00:00,1354
2019-05-31 00:00:00,1096
2019-04-30 00:00:00,1011
2019-03-31 00:00:00,689
2019-02-28 00:00:00,658
2019-01-31 00:00:00,668
2018-12-31 00:00:00,1271
2018-11-30 00:00:00,1231
2018-10-31 00:00:00,1490
2018-09-30 00:00:00,1540
2018-08-31 00:00:00,1579
2018-07-31 00:00:00,1747
2018-06-30 00:00:00,1385
2018-05-31 00:00:00,1090
2018-04-30 00:00:00,1341
2018-03-31 00:00:00,1055
2018-02-28 00:00:00,1192
2018-01-31 00:00:00,1152
2017-12-31 00:00:00,1366
2017-11-30 00:00:00,1578
2017-10-31 00:00:00,1522
2017-09-30 00:00:00,1356
2017-08-31 00:00:00,1184
2017-07-31 00:00:00,946
2017-06-30 00:00:00,901
2017-05-31 00:00:00,878
2017-04-30 00:00:00,1109
2017-03-31 00:00:00,1297
2017-02-28 00:00:00,859
2017-01-31 00:00:00,800
2016-12-31 00:00:00,961
2016-11-30 00:00:00,1204
2016-10-31 00:00:00,857
2016-09-30 00:00:00,875
2016-08-31 00:00:00,711
2016-07-31 00:00:00,656
2016-06-30 00:00:00,660
2016-05-31 00:00:00,612
2016-04-30 00:00:00,703
2016-03-31 00:00:00,429
2016-02-29 00:00:00,329
2016-01-31 00:00:00,317
2015-12-31 00:00:00,478
2015-11-30 00:00:00,584
2015-10-31 00:00:00,721
2015-09-30 00:00:00,900
2015-08-31 00:00:00,903
2015-07-31 00:00:00,1131
2015-06-30 00:00:00,800
2015-05-31 00:00:00,589
2015-04-30 00:00:00,591
2015-03-31 00:00:00,602
2015-02-28 00:00:00,540
2015-01-31 00:00:00,608
2014-12-31 00:00:00,782
2014-11-30 00:00:00,1153
2014-10-31 00:00:00,1428
2014-09-30 00:00:00,1063
2014-08-31 00:00:00,1147
2014-07-31 00:00:00,755
2014-06-30 00:00:00,850
2014-05-31 00:00:00,934
2014-04-30 00:00:00,943
2014-03-31 00:00:00,1362
2014-02-28 00:00:00,1258
2014-01-31 00:00:00,1110
2013-12-31 00:00:00,2277
2013-11-30 00:00:00,1821
2013-10-31 00:00:00,1504
2013-09-30 00:00:00,2003
2013-08-31 00:00:00,1132
2013-07-31 00:00:00,1062
2013-06-30 00:00:00,1171
2013-05-31 00:00:00,809
2013-04-30 00:00:00,863
2013-03-31 00:00:00,910
2013-02-28 00:00:00,757
2013-01-31 00:00:00,760
2012-12-31 00:00:00,699
2012-11-30 00:00:00,1086
2012-10-31 00:00:00,1026
2012-09-30 00:00:00,766
2012-08-31 00:00:00,703
2012-07-31 00:00:00,897
2012-06-30 00:00:00,1004
2012-05-31 00:00:00,923
2012-04-30 00:00:00,1155
2012-03-31 00:00:00,934
2012-02-29 00:00:00,750
2012-01-31 00:00:00,680
2011-12-31 00:00:00,1738
2011-11-30 00:00:00,1846
2011-10-31 00:00:00,1965
2011-09-30 00:00:00,1899
2011-08-31 00:00:00,1619
2011-07-31 00:00:00,1264
2011-06-30 00:00:00,1413
2011-05-31 00:00:00,1480
2011-04-30 00:00:00,1269
2011-03-31 00:00:00,1530
2011-02-28 00:00:00,1251
2011-01-31 00:00:00,1107
2010-12-31 00:00:00,1773
2010-11-30 00:00:00,2099
2010-10-31 00:00:00,2678
2010-09-30 00:00:00,2446
2010-08-31 00:00:00,2713
2010-07-31 00:00:00,1967
2010-06-30 00:00:00,2406
2010-05-31 00:00:00,4078
2010-04-30 00:00:00,3354
2010-03-31 00:00:00,2998
2010-02-28 00:00:00,2738
2010-01-31 00:00:00,2848
2009-12-31 00:00:00,3005
2009-11-30 00:00:00,3887
2009-10-31 00:00:00,3103
2009-09-30 00:00:00,2220
2009-08-31 00:00:00,2421
2009-07-31 00:00:00,3350
2009-06-30 00:00:00,3757
2009-05-31 00:00:00,3494
2009-04-30 00:00:00,1786
2009-03-31 00:00:00,1615
2009-02-28 00:00:00,1986
2009-01-31 00:00:00,1070
2008-12-31 00:00:00,774
2008-11-30 00:00:00,715
2008-10-31 00:00:00,851
2008-09-30 00:00:00,3217
2008-08-31 00:00:00,6809
2008-07-31 00:00:00,8341
2008-06-30 00:00:00,9589
2008-05-31 00:00:00,11440
2008-04-30 00:00:00,9356
2008-03-31 00:00:00,8081
2008-02-29 00:00:00,7613
2008-01-31 00:00:00,6052
2007-12-31 00:00:00,9143
2007-11-30 00:00:00,10210
2007-10-31 00:00:00,10656
2007-09-30 00:00:00,9474
2007-08-31 00:00:00,7702
2007-07-31 00:00:00,6967
2007-06-30 00:00:00,6278
2007-05-31 00:00:00,5971
2007-04-30 00:00:00,6248
2007-03-31 00:00:00,5388
2007-02-28 00:00:00,4765
2007-01-31 00:00:00,4225
2006-12-31 00:00:00,4397
2006-11-30 00:00:00,4336
2006-10-31 00:00:00,4037
2006-09-30 00:00:00,3944
2006-08-31 00:00:00,3847
2006-07-31 00:00:00,3285
2006-06-30 00:00:00,2964
2006-05-31 00:00:00,2436
2006-04-30 00:00:00,2368
2006-03-31 00:00:00,2496
2006-02-28 00:00:00,2680
2006-01-31 00:00:00,2081
2005-12-31 00:00:00,2407
2005-11-30 00:00:00,2770
2005-10-31 00:00:00,3113
2005-09-30 00:00:00,2907
2005-08-31 00:00:00,2592
2005-07-31 00:00:00,1804
2005-06-30 00:00:00,2521
2005-05-31 00:00:00,3219
2005-04-30 00:00:00,3850
2005-03-31 00:00:00,4637
2005-02-28 00:00:00,4726
2005-01-31 00:00:00,4488
2004-12-31 00:00:00,4598
2004-11-30 00:00:00,6051
2004-10-31 00:00:00,4922
2004-09-30 00:00:00,4105
2004-08-31 00:00:00,4186
2004-07-31 00:00:00,4048
2004-06-30 00:00:00,3005
2004-05-31 00:00:00,3286
2004-04-30 00:00:00,3958
2004-03-31 00:00:00,4822
2004-02-29 00:00:00,5263
